,Bank Name ,City ,State ,Cert ,Acquiring Institution ,Closing Date ,Fund
0,First Republic Bank,San Francisco,CA,59017,"JPMorgan Chase Bank, N.A.",1-May-23,10543
1,Signature Bank,New York,NY,57053,"Flagstar Bank, N.A.",12-Mar-23,10540
2,Silicon Valley Bank,Santa Clara,CA,24735,FirstCitizens Bank & Trust Company,10-Mar-23,10539
3,Almena State Bank,Almena,KS,15426,Equity Bank,23-Oct-20,10538
4,First City Bank of Florida,Fort Walton Beach,FL,16748,"United Fidelity Bank, fsb",16-Oct-20,10537
5,The First State Bank,Barboursville,WV,14361,"MVB Bank, Inc.",3-Apr-20,10536
6,Ericson State Bank,Ericson,NE,18265,Farmers and Merchants Bank,14-Feb-20,10535
7,City National Bank of New Jersey,Newark,NJ,21111,Industrial Bank,1-Nov-19,10534
8,Resolute Bank,Maumee,OH,58317,Buckeye State Bank,25-Oct-19,10533
9,Louisa Community Bank,Louisa,KY,58112,Kentucky Farmers Bank Corporation,25-Oct-19,10532
10,The Enloe State Bank,Cooper,TX,10716,"Legend Bank, N. A.",31-May-19,10531
11,Washington Federal Bank for Savings,Chicago,IL,30570,Royal Savings Bank,15-Dec-17,10530
12,The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,13-Oct-17,10529
13,Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb",26-May-17,10528
14,"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,30003,First-Citizens Bank & Trust Company,5-May-17,10527
15,First NBC Bank,New Orleans,LA,58302,Whitney Bank,28-Apr-17,10526
16,Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,3-Mar-17,10525
17,Seaway Bank and Trust Company,Chicago,IL,19328,State Bank of Texas,27-Jan-17,10524
18,Harvest Community Bank,Pennsville,NJ,34951,First-Citizens Bank & Trust Company,13-Jan-17,10523
19,Allied Bank,Mulberry,AR,91,Today's Bank,23-Sep-16,10522
20,The Woodbury Banking Company,Woodbury,GA,11297,United Bank,19-Aug-16,10521
21,First CornerStone Bank,King of Prussia,PA,35312,First-Citizens Bank & Trust Company,6-May-16,10520
22,Trust Company Bank,Memphis,TN,9956,The Bank of Fayette County,29-Apr-16,10519
23,North Milwaukee State Bank,Milwaukee,WI,20364,First-Citizens Bank & Trust Company,11-Mar-16,10518
24,Hometown National Bank,Longview,WA,35156,Twin City Bank,2-Oct-15,10517
25,The Bank of Georgia,Peachtree City,GA,35259,Fidelity Bank,2-Oct-15,10516
26,Premier Bank,Denver,CO,34112,"United Fidelity Bank, fsb",10-Jul-15,10515
27,Edgebrook Bank,Chicago,IL,57772,Republic Bank of Chicago,8-May-15,10514
28,Doral Bank,San Juan,PR,32102,Banco Popular de Puerto Rico,27-Feb-15,10513
29,Capitol City Bank & Trust Company,Atlanta,GA,33938,First-Citizens Bank & Trust Company,13-Feb-15,10512
30,Highland Community Bank,Chicago,IL,20290,"United Fidelity Bank, fsb",23-Jan-15,10511
31,First National Bank of Crestview,Crestview,FL,17557,First NBC Bank,16-Jan-15,10510
32,Northern Star Bank,Mankato,MN,34983,BankVista,19-Dec-14,10509
33,"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,34738,"Bank of Southern California, N.A.",7-Nov-14,10508
34,The National Republic Bank of Chicago,Chicago,IL,916,State Bank of Texas,24-Oct-14,10507
35,NBRS Financial,Rising Sun,MD,4862,Howard Bank,17-Oct-14,10506
36,"GreenChoice Bank, fsb",Chicago,IL,28462,"Providence Bank, LLC",25-Jul-14,10505
37,Eastside Commercial Bank,Conyers,GA,58125,Community & Southern Bank,18-Jul-14,10504
38,The Freedom State Bank,Freedom,OK,12483,Alva State Bank & Trust Company,27-Jun-14,10503
39,Valley Bank,Fort Lauderdale,FL,21793,"Landmark Bank, National Association",20-Jun-14,10501
40,Valley Bank,Moline,IL,10450,Great Southern Bank,20-Jun-14,10502
41,Slavie Federal Savings Bank,Bel Air,MD,32368,"Bay Bank, FSB",30-May-14,10500
42,Columbia Savings Bank,Cincinnati,OH,32284,"United Fidelity Bank, fsb",23-May-14,10499
43,AztecAmerica Bank,Berwyn,IL,57866,Republic Bank of Chicago,16-May-14,10498
44,Allendale County Bank,Fairfax,SC,15062,Palmetto State Bank,25-Apr-14,10497
45,Vantage Point Bank,Horsham,PA,58531,First Choice Bank,28-Feb-14,10496
46,"Millennium Bank, National Association",Sterling,VA,35096,WashingtonFirst Bank,28-Feb-14,10495
47,Syringa Bank,Boise,ID,34296,Sunwest Bank,31-Jan-14,10494
48,The Bank of Union,El Reno,OK,17967,BancFirst,24-Jan-14,10493
49,DuPage National Bank,West Chicago,IL,5732,Republic Bank of Chicago,17-Jan-14,10492
50,"Texas Community Bank, National Association",The Woodlands,TX,57431,"Spirit of Texas Bank, SSB",13-Dec-13,10491
51,Bank of Jackson County,Graceville,FL,14794,First Federal Bank of Florida,30-Oct-13,10490
52,First National Bank also operating as The National Bank of El Paso,Edinburg,TX,14318,PlainsCapital Bank,13-Sep-13,10488
53,The Community's Bank,Bridgeport,CT,57041,No Acquirer,13-Sep-13,10489
54,Sunrise Bank of Arizona,Phoenix,AZ,34707,"First Fidelity Bank, National Association",23-Aug-13,10487
55,Community South Bank,Parsons,TN,19849,"CB&S Bank, Inc.",23-Aug-13,10486
56,Bank of Wausau,Wausau,WI,35016,Nicolet National Bank,9-Aug-13,10485
57,First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,FL,34943,C1 Bank,2-Aug-13,10484
58,Mountain National Bank,Sevierville,TN,34789,"First Tennessee Bank, National Association",7-Jun-13,10483
59,1st Commerce Bank,North Las Vegas,NV,58358,Plaza Bank,6-Jun-13,10482
60,Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI,35386,"North Shore Bank, FSB",31-May-13,10478
61,Central Arizona Bank,Scottsdale,AZ,34527,Western State Bank,14-May-13,10479
62,Sunrise Bank,Valdosta,GA,58185,Synovus Bank,10-May-13,10481
63,Pisgah Community Bank,Asheville,NC,58701,"Capital Bank, N.A.",10-May-13,10480
64,Douglas County Bank,Douglasville,GA,21649,Hamilton State Bank,26-Apr-13,10476
65,Parkway Bank,Lenoir,NC,57158,"CertusBank, National Association",26-Apr-13,10477
66,Chipola Community Bank,Marianna,FL,58034,First Federal Bank of Florida,19-Apr-13,10473
67,Heritage Bank of North Florida,Orange Park,FL,26680,FirstAtlantic Bank,19-Apr-13,10475
68,First Federal Bank,Lexington,KY,29594,Your Community Bank,19-Apr-13,10474
69,Gold Canyon Bank,Gold Canyon,AZ,58066,"First Scottsdale Bank, National Association",5-Apr-13,10472
70,Frontier Bank,LaGrange,GA,16431,HeritageBank of the South,8-Mar-13,10471
71,Covenant Bank,Chicago,IL,22476,Liberty Bank and Trust Company,15-Feb-13,10470
72,1st Regents Bank,Andover,MN,57157,First Minnesota Bank,18-Jan-13,10469
73,Westside Community Bank,University Place,WA,33997,Sunwest Bank,11-Jan-13,10468
74,Community Bank of the Ozarks,Sunrise Beach,MO,27331,Bank of Sullivan,14-Dec-12,10467
75,Hometown Community Bank,Braselton,GA,57928,"CertusBank, National Association",16-Nov-12,10466
76,Citizens First National Bank,Princeton,IL,3731,Heartland Bank and Trust Company,2-Nov-12,10464
77,Heritage Bank of Florida,Lutz,FL,35009,Centennial Bank,2-Nov-12,10465
78,NOVA Bank,Berwyn,PA,27148,No Acquirer,26-Oct-12,10463
79,Excel Bank,Sedalia,MO,19189,Simmons First National Bank,19-Oct-12,10460
80,First East Side Savings Bank,Tamarac,FL,28144,Stearns Bank N.A.,19-Oct-12,10461
81,GulfSouth Private Bank,Destin,FL,58073,SmartBank,19-Oct-12,10462
82,First United Bank,Crete,IL,20685,"Old Plank Trail Community Bank, National Association",28-Sep-12,10459
83,Truman Bank,St. Louis,MO,27316,Simmons First National Bank,14-Sep-12,10458
84,First Commercial Bank,Bloomington,MN,35246,Republic Bank & Trust Company,7-Sep-12,10457
85,Waukegan Savings Bank,Waukegan,IL,28243,First Midwest Bank,3-Aug-12,10456
86,Jasper Banking Company,Jasper,GA,16240,Stearns Bank N.A.,27-Jul-12,10455
87,Second Federal Savings and Loan Association of Chicago,Chicago,IL,27986,Hinsdale Bank & Trust Company,20-Jul-12,10453
88,Heartland Bank,Leawood,KS,1361,Metcalf Bank,20-Jul-12,10452
89,First Cherokee State Bank,Woodstock,GA,32711,Community & Southern Bank,20-Jul-12,10450
90,Georgia Trust Bank,Buford,GA,57847,Community & Southern Bank,20-Jul-12,10451
91,The Royal Palm Bank of Florida,Naples,FL,57096,First National Bank of the Gulf Coast,20-Jul-12,10454
92,Glasgow Savings Bank,Glasgow,MO,1056,Regional Missouri Bank,13-Jul-12,10449
93,Montgomery Bank & Trust,Ailey,GA,19498,Ameris Bank,6-Jul-12,10448
94,The Farmers Bank of Lynchburg,Lynchburg,TN,1690,Clayton Bank and Trust,15-Jun-12,10447
95,Security Exchange Bank,Marietta,GA,35299,Fidelity Bank,15-Jun-12,10446
96,Putnam State Bank,Palatka,FL,27405,Harbor Community Bank,15-Jun-12,10445
97,Waccamaw Bank,Whiteville,NC,34515,First Community Bank,8-Jun-12,10444
98,Farmers' and Traders' State Bank,Shabbona,IL,9257,First State Bank,8-Jun-12,10442
99,Carolina Federal Savings Bank,Charleston,SC,35372,Bank of North Carolina,8-Jun-12,10441
100,First Capital Bank,Kingfisher,OK,416,F & M Bank,8-Jun-12,10443
101,"Alabama Trust Bank, National Association",Sylacauga,AL,35224,Southern States Bank,18-May-12,10440
102,"Security Bank, National Association",North Lauderdale,FL,23156,Banesco USA,4-May-12,10439
103,Palm Desert National Bank,Palm Desert,CA,23632,Pacific Premier Bank,27-Apr-12,10437
104,Plantation Federal Bank,Pawleys Island,SC,32503,First Federal Bank,27-Apr-12,10438
105,"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,MN,31495,Great Southern Bank,27-Apr-12,10436
106,HarVest Bank of Maryland,Gaithersburg,MD,57766,Sonabank,27-Apr-12,10435
107,Bank of the Eastern Shore,Cambridge,MD,26759,No Acquirer,27-Apr-12,10434
108,"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,35527,Alma Bank,20-Apr-12,10433
109,Fidelity Bank,Dearborn,MI,33883,The Huntington National Bank,30-Mar-12,10432
110,Premier Bank,Wilmette,IL,35419,International Bank of Chicago,23-Mar-12,10431
111,Covenant Bank & Trust,Rock Spring,GA,58068,"Stearns Bank, N.A.",23-Mar-12,10430
112,New City Bank,Chicago,IL,57597,No Acquirer,9-Mar-12,10429
113,Global Commerce Bank,Doraville,GA,34046,Metro City Bank,2-Mar-12,10428
114,Home Savings of America,Little Falls,MN,29178,No Acquirer,24-Feb-12,10427
115,Central Bank of Georgia,Ellaville,GA,5687,Ameris Bank,24-Feb-12,10426
116,SCB Bank,Shelbyville,IN,29761,"First Merchants Bank, National Association",10-Feb-12,10425
117,Charter National Bank and Trust,Hoffman Estates,IL,23187,"Barrington Bank & Trust Company, National Association",10-Feb-12,10424
118,BankEast,Knoxville,TN,19869,"U.S. Bank, N.A.",27-Jan-12,10420
119,Patriot Bank Minnesota,Forest Lake,MN,34823,First Resource Bank,27-Jan-12,10422
120,Tennessee Commerce Bank,Franklin,TN,35296,Republic Bank & Trust Company,27-Jan-12,10423
121,First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,16579,"CenterState Bank of Florida, N.A.",27-Jan-12,10421
122,American Eagle Savings Bank,Boothwyn,PA,31581,"Capital Bank, N.A.",20-Jan-12,10417
123,The First State Bank,Stockbridge,GA,19252,Hamilton State Bank,20-Jan-12,10419
124,Central Florida State Bank,Belleview,FL,57186,"CenterState Bank of Florida, N.A.",20-Jan-12,10418
125,Western National Bank,Phoenix,AZ,57917,Washington Federal,16-Dec-11,10416
126,Premier Community Bank of the Emerald Coast,Crestview,FL,58343,Summit Bank,16-Dec-11,10415
127,Central Progressive Bank,Lacombe,LA,19657,First NBC Bank,18-Nov-11,10413
128,Polk County Bank,Johnston,IA,14194,Grinnell State Bank,18-Nov-11,10414
129,Community Bank of Rockmart,Rockmart,GA,57860,Century Bank of Georgia,10-Nov-11,10412
130,SunFirst Bank,Saint George,UT,57087,Cache Valley Bank,4-Nov-11,10411
131,"Mid City Bank, Inc.",Omaha,NE,19397,Premier Bank,4-Nov-11,10410
132,All American Bank,Des Plaines,IL,57759,International Bank of Chicago,28-Oct-11,10409
133,Community Banks of Colorado,Greenwood Village,CO,21132,"Bank Midwest, N.A.",21-Oct-11,10405
134,Community Capital Bank,Jonesboro,GA,57036,State Bank and Trust Company,21-Oct-11,10406
